,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"$100,000 or more     ","1,368","4,040","1,427","211,560","1,296","158,443","1,137","2,998",768,"2,224",637,"10,390",244,"6,231",*         ,*              ,63,245,37,617,"1,189","179,592","29,459","1,113","168,299","5,710","1,186","179,267","8,185",77,243,"1,368","34,824","1,368","35,008",--        ,--             ,703
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98002,"12,490","24,653","8,010","451,809","10,714","355,282","3,989","6,548","2,023","4,147","1,554","8,755","1,207","10,523",12,-38,188,539,41,408,"3,230","202,720","50,634","2,685","177,681","5,973","3,209","201,024","12,280",30,89,"9,920","43,122","9,239","40,955","2,232","3,777","6,630"
"Under $10,000        ","2,082","2,952",670,"9,972","1,613","8,566",380,343,176,160,142,-61,190,330,--        ,--             ,*         ,*              ,--        ,--             ,68,428,996,42,262,47,80,93,235,--        ,--             ,396,56,533,171,738,771,945
"$10,000 under $25,000","3,565","6,544","2,279","62,189","2,907","47,852",797,"1,077",382,518,267,-174,340,"2,332",--        ,--             ,36,95,10,30,356,"6,488","4,325",270,"4,929",461,346,"6,302",906,--        ,--             ,"2,737","2,329","2,405","2,445","1,060","2,632","2,024"
"$25,000 under $50,000","4,001","7,945","2,770","142,921","3,605","121,144","1,207","1,249",536,847,397,373,319,"2,433",12,-38,81,216,*         ,*              ,"1,060","40,178","14,738",824,"31,423","1,156","1,048","39,725","3,157",--        ,--             ,"3,946","11,122","3,499","10,069",434,374,"2,084"
"$50,000 under $75,000","1,679","4,090","1,335","102,373","1,529","84,638",807,984,439,726,329,561,193,"1,231",*         ,*              ,40,114,15,80,892,"55,000","13,160",770,"47,560","1,488",884,"54,509","3,294",--        ,--             ,"1,679","10,216","1,641","9,413",--        ,--             ,917
"$75,000 under $100,000",717,"1,963",638,"61,360",664,"50,534",451,762,245,363,197,830,91,980,--        ,--             ,16,52,*         ,*              ,496,"42,679","8,638",439,"37,898",976,493,"42,448","2,205",*         ,*              ,716,"6,831",715,"6,526",--        ,--             ,386
"$100,000 or more     ",446,"1,159",318,"72,994",396,"42,548",347,"2,133",245,"1,533",222,"7,226",74,"3,217",*         ,*              ,15,62,16,298,358,"57,947","8,777",340,"55,609","1,845",358,"57,947","2,483",30,89,446,"12,568",446,"12,331",--        ,--             ,274
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98003,"17,807","36,547","12,375","751,715","15,409","589,037","6,363","9,572","3,539","10,157","2,863","14,091","2,013","24,047",12,-8,285,801,92,"1,230","5,595","420,217","96,872","4,718","374,686","12,777","5,589","413,973","24,140",106,278,"14,182","80,598","13,265","79,070","2,894","5,030","9,273"
"Under $10,000        ","3,044","4,410","1,070","9,710","2,343","14,226",603,504,308,389,289,-177,373,356,--        ,--             ,11,24,*         ,*              ,123,713,"1,561",78,450,73,159,"-3,257",493,--        ,--             ,620,100,890,315,"1,028","1,265","1,466"
"$10,000 under $25,000","4,543","8,397","2,966","78,694","3,764","62,049","1,048","1,349",520,"1,085",413,69,430,"3,343",*         ,*              ,40,80,*         ,*              ,490,"9,061","7,038",357,"6,587",631,477,"8,819","1,320",--        ,--             ,"3,451","2,918","3,014","3,122","1,305","3,273","2,513"
"$25,000 under $50,000","5,254","10,818","3,956","189,569","4,771","163,413","1,545","1,575",741,"1,506",569,238,492,"4,409",--        ,--             ,91,229,17,90,"1,538","59,406","20,827","1,215","47,288","2,154","1,523","58,840","4,750",*         ,*              ,"5,153","14,469","4,483","13,182",561,492,"2,723"
"$50,000 under $75,000","2,469","5,937","1,999","151,159","2,248","125,034","1,315","1,359",729,"1,351",578,759,316,"2,870",12,-8,60,184,12,71,"1,429","88,344","23,811","1,214","75,173","2,722","1,419","87,708","5,760",14,10,"2,462","14,912","2,388","13,937",--        ,--             ,"1,254"
"$75,000 under $100,000","1,259","3,465","1,178","107,710","1,166","90,379",853,"1,029",512,"1,071",405,928,184,"2,961",*         ,*              ,38,120,18,177,973,"83,629","18,736",880,"75,704","2,379",970,"83,378","4,707",*         ,*              ,"1,258","11,825","1,253","11,412",--        ,--             ,638
"$100,000 or more     ","1,238","3,520","1,206","214,873","1,117","133,936",999,"3,756",729,"4,755",609,"12,274",218,"10,108",*         ,*              ,45,164,45,892,"1,042","179,064","24,899",974,"169,484","4,818","1,041","178,485","7,110",92,268,"1,238","36,374","1,237","37,102",--        ,--             ,679
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98004,"12,613","22,788","5,193","2,054,818","9,181","846,893","8,040","69,820","6,676","208,553","5,988","606,648","2,141","63,067",31,-493,417,"1,434",365,"7,842","5,790","1,742,032","220,019","5,187","1,683,369","58,651","5,850","1,704,505","60,631",767,"5,012","10,711","409,549","10,693","414,108",502,522,"6,663"
"Under $10,000        ","1,984","2,431",253,"-30,041","1,119","9,238",846,"3,428",802,"3,915",695,"2,139",280,"-1,562",*         ,*              ,17,48,*         ,*              ,146,798,"2,453",94,493,87,263,"-33,088","2,229",*         ,*              ,554,95,692,449,273,156,985
"$10,000 under $25,000","1,804","2,428",364,"31,123","1,249","20,724",796,"1,704",596,"2,243",518,384,241,"1,835",--        ,--             ,40,94,*         ,*              ,363,"6,311","5,953",274,"4,726",481,354,"6,169","1,330",13,21,"1,475","1,428","1,407","1,646",165,317,837
"$25,000 under $50,000","2,613","3,763",630,"96,112","2,043","69,863","1,264","3,294",924,"4,712",780,"3,377",316,"3,878",*         ,*              ,95,259,25,170,802,"30,359","15,491",665,"25,264","1,580",784,"29,753","3,485",*         ,*              ,"2,510","8,234","2,432","8,581",64,49,"1,109"
"$50,000 under $75,000","1,620","2,781",546,"99,719","1,213","65,930","1,065","3,186",809,"5,395",697,"3,260",266,"4,667",*         ,*              ,52,175,31,276,820,"50,777","16,058",708,"43,877","1,988",804,"49,793","4,263",*         ,*              ,"1,595","11,036","1,584","11,432",--        ,--             ,764
"$75,000 under $100,000","1,181","2,365",506,"101,783",883,"64,649",955,"2,890",769,"6,180",676,"3,100",212,"5,053",*         ,*              ,61,241,31,358,760,"65,963","17,572",690,"59,887","2,547",756,"65,626","4,951",17,36,"1,171","12,157","1,172","12,546",--        ,--             ,584
"$100,000 or more     ","3,411","9,020","2,894","1,756,122","2,674","616,489","3,114","55,318","2,776","186,108","2,622","594,388",826,"49,196",31,-493,152,617,278,"7,038","2,899","1,587,824","162,492","2,756","1,549,122","51,968","2,889","1,586,252","44,373",737,"4,955","3,406","376,599","3,406","379,454",--        ,--             ,"2,384"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98005,"8,792","16,417","4,097","873,577","7,116","537,592","5,097","18,734","3,872","45,799","3,353","91,422","1,302","34,761",12,-32,267,890,189,"3,487","3,789","637,289","99,100","3,312","604,709","22,036","3,814","621,507","27,543",297,"1,421","7,418","162,976","7,371","164,187",468,535,"4,176"
"Under $10,000        ","1,373","1,704",187,"-10,065",927,"7,045",526,923,444,"1,303",378,683,121,-661,--        ,--             ,*         ,*              ,10,30,85,477,"1,623",48,264,62,157,"-13,070",913,--        ,--             ,349,59,463,258,225,147,594
"$10,000 under $25,000","1,408","2,057",420,"24,319","1,072","18,110",523,719,361,"1,113",299,299,190,"1,553",--        ,--             ,40,114,*         ,*              ,247,"4,428","5,364",182,"3,309",341,241,"4,314","1,247",--        ,--             ,"1,131","1,066","1,069","1,257",159,327,616
"$25,000 under $50,000","1,991","3,182",704,"73,113","1,710","59,147",882,"1,427",564,"2,024",439,336,239,"2,717",*         ,*              ,65,175,15,114,655,"25,186","10,115",508,"19,588","1,008",629,"24,264","2,310",11,10,"1,931","6,203","1,851","6,333",84,61,874
"$50,000 under $75,000","1,209","2,174",468,"74,776",994,"55,911",788,"1,416",536,"2,313",462,"1,123",158,"2,740",--        ,--             ,54,189,18,128,657,"40,904","11,346",563,"35,034","1,267",650,"40,511","2,845",--        ,--             ,"1,197","8,289","1,183","8,442",--        ,--             ,552
"$75,000 under $100,000",862,"1,910",499,"74,283",739,"55,467",654,"1,178",467,"2,233",404,"1,165",159,"3,027",12,-32,32,100,24,229,529,"45,704","10,562",466,"40,355","1,372",524,"45,314","2,879",*         ,*              ,861,"9,040",857,"9,136",--        ,--             ,399
"$100,000 or more     ","1,949","5,390","1,819","637,151","1,674","341,912","1,724","13,071","1,500","36,813","1,371","87,816",435,"25,385",*         ,*              ,76,312,122,"2,986","1,616","520,590","60,090","1,545","506,159","17,986","1,613","520,174","17,349",286,"1,411","1,949","138,319","1,948","138,761",--        ,--             ,"1,141"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98006,"16,929","37,015","11,375","1,917,655","13,543","1,272,364","11,466","39,055","9,147","146,616","7,912","155,030","2,908","65,790",22,-364,656,"2,300",480,"8,160","8,835","1,522,290","246,587","8,021","1,462,185","54,764","8,869","1,495,791","69,492",682,"2,805","14,222","357,083","14,081","360,513",735,"1,016","7,611"
"Under $10,000        ","3,022","3,633",338,"-17,421","1,952","11,509","1,267","1,986","1,132","1,912",920,372,258,526,11,-411,23,48,10,35,132,700,"2,235",77,400,76,214,"-23,108","1,269",--        ,--             ,970,160,"1,110",411,328,278,"1,179"
"$10,000 under $25,000","2,084","3,139",630,"35,388","1,535","24,500",950,"1,527",626,"2,152",533,365,297,"1,756",*         ,*              ,48,117,*         ,*              ,446,"7,809","7,976",321,"5,637",544,436,"7,652","1,704",--        ,--             ,"1,623","1,436","1,550","1,722",272,628,871
