,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"$10,000 under $25,000","1,300","2,071",508,"22,170","1,026","16,559",420,469,224,489,190,141,215,"1,889",17,64,22,50,*         ,*              ,264,"4,755","4,184",198,"3,615",309,255,"4,602",900,--        ,--             ,"1,011",925,998,"1,165",225,515,543
"$25,000 under $50,000","1,728","3,398","1,041","64,265","1,501","52,265",782,927,436,"1,098",365,483,290,"3,495",*         ,*              ,63,176,20,89,821,"32,236","13,806",632,"24,845","1,247",811,"31,889","3,225",--        ,--             ,"1,640","4,550","1,532","4,731",95,69,842
"$50,000 under $75,000","1,671","4,433","1,627","104,361","1,552","88,643","1,064","1,154",660,"1,116",526,608,334,"3,762",12,-140,61,197,19,108,"1,291","81,267","24,277","1,095","68,974","2,375","1,287","81,008","5,997",--        ,--             ,"1,659","9,085","1,602","8,529",--        ,--             ,824
"$75,000 under $100,000","1,571","4,781","1,837","136,606","1,491","119,476","1,153","1,214",728,"1,157",577,"1,500",336,"4,749",10,-181,70,207,28,266,"1,393","121,371","29,051","1,256","109,624","3,083","1,387","120,857","7,451",*         ,*              ,"1,569","13,581","1,563","12,801",--        ,--             ,688
"$100,000 or more     ","2,452","7,891","3,138","422,732","2,334","310,863","2,005","3,731","1,492","13,607","1,292","26,048",516,"16,898",11,-8,99,348,81,"1,115","2,295","377,585","62,428","2,135","352,488","9,961","2,291","376,942","16,571",185,646,"2,450","70,586","2,449","71,646",--        ,--             ,"1,271"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98297,33,74,24,826,17,202,13,2,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,10,38,19,48,*         ,*              ,*         
"Under $10,000        ",22,44,14,169,*         ,*              ,13,2,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,*         
"$10,000 under $25,000",*         ,*         ,*         ,*              ,17,202,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,10,38,19,48,*         ,*              ,*         
"$25,000 under $50,000",11,30,10,657,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$100,000 or more     ",*         ,*         ,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98303,468,910,197,"21,472",299,"11,947",281,547,181,702,146,845,92,951,*         ,*              ,12,40,*         ,*              ,209,"13,884","3,399",178,"13,034",423,211,"13,877","1,034",*         ,*              ,355,"2,311",358,"2,410",48,80,258
"Under $10,000        ",84,104,9,333,44,217,31,31,22,44,23,-31,13,34,--        ,--             ,--        ,--             ,--        ,--             ,12,81,143,*         ,*              ,*              ,14,74,39,--        ,--             ,13,4,21,10,17,15,35
"$10,000 under $25,000",109,201,52,"1,786",65,842,54,71,35,91,31,-26,27,147,--        ,--             ,*         ,*              ,--        ,--             ,32,541,459,28,430,62,32,541,114,--        ,--             ,69,46,73,64,31,65,66
"$25,000 under $50,000",108,216,48,"3,904",65,"2,061",65,193,37,110,15,35,13,21,--        ,--             ,--        ,--             ,*         ,*              ,52,"1,897",717,41,"1,536",57,52,"1,897",193,--        ,--             ,106,258,98,250,*         ,*              ,60
"$50,000 under $75,000",82,182,39,"5,064",51,"2,385",62,110,44,176,37,58,28,461,--        ,--             ,12,40,*         ,*              ,44,"2,748",780,42,"2,618",90,44,"2,748",233,--        ,--             ,82,473,81,490,--        ,--             ,43
"$75,000 under $100,000",49,117,30,"4,251",39,"2,673",38,79,24,79,20,157,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,37,"3,229",592,35,"3,062",72,37,"3,229",199,--        ,--             ,49,492,49,506,--        ,--             ,30
"$100,000 or more     ",36,90,19,"6,134",35,"3,769",31,63,19,202,20,652,11,288,*         ,*              ,*         ,*              ,*         ,*              ,32,"5,388",708,32,"5,388",142,32,"5,388",256,*         ,*              ,36,"1,038",36,"1,090",--        ,--             ,24
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98304,363,651,144,"12,396",298,"8,761",141,109,68,85,47,43,50,530,*         ,*              ,*         ,*              ,--        ,--             ,96,"5,634","1,280",66,"4,260",87,97,"5,591",343,--        ,--             ,290,"1,134",284,"1,203",58,72,171
"Under $10,000        ",71,97,21,244,57,310,15,4,*         ,*              ,11,-2,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,13,2,18,3,29,25,29
"$10,000 under $25,000",103,156,29,"1,809",80,"1,314",37,40,21,14,*         ,*              ,16,89,--        ,--             ,*         ,*              ,--        ,--             ,17,284,153,*         ,*              ,*              ,18,241,35,--        ,--             ,90,73,89,84,18,36,50
"$25,000 under $50,000",107,218,55,"3,879",90,"2,930",46,47,19,22,22,29,24,162,--        ,--             ,*         ,*              ,--        ,--             ,33,"1,240",418,30,955,29,33,"1,240",117,--        ,--             ,105,285,95,290,11,11,44
"$50,000 under $75,000",49,105,23,"2,967",47,"2,534",21,10,11,7,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,21,"1,323",286,15,947,21,21,"1,323",67,--        ,--             ,49,306,49,302,--        ,--             ,27
"$75,000 under $100,000",33,75,16,"3,497",24,"1,673",22,8,17,42,14,16,10,279,--        ,--             ,--        ,--             ,--        ,--             ,25,"2,787",423,21,"2,358",37,25,"2,787",124,--        ,--             ,33,468,33,524,--        ,--             ,21
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98305,204,398,93,"7,138",166,"4,790",96,53,48,42,25,-19,27,216,*         ,*              ,*         ,*              ,*         ,*              ,30,"2,052",477,14,"1,004",19,28,"1,942",122,--        ,--             ,148,677,150,733,21,39,122
"Under $10,000        ",44,57,6,188,30,119,11,4,*         ,*              ,10,1,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,*         ,*              ,18
"$10,000 under $25,000",52,107,30,885,40,608,20,20,18,13,*         ,*              ,16,82,--        ,--             ,*         ,*              ,--        ,--             ,*         ,*              ,*              ,--        ,--             ,--             ,*         ,*              ,*              ,--        ,--             ,41,26,46,41,21,39,33
"$25,000 under $50,000",64,123,27,"2,328",56,"1,815",35,8,17,9,15,-20,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,14,486,232,14,"1,004",19,13,462,46,--        ,--             ,63,176,60,188,--        ,--             ,39
"$50,000 under $75,000",22,52,13,"1,290",30,"1,647",13,6,*         ,*              ,*         ,*              ,11,134,--        ,--             ,--        ,--             ,--        ,--             ,16,"1,566",245,*         ,*              ,*              ,15,"1,480",76,--        ,--             ,22,128,22,131,--        ,--             ,22
"$75,000 under $100,000",11,28,8,904,*         ,*              ,17,15,13,20,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,11,104,11,102,--        ,--             ,*         
"$100,000 or more     ",11,31,9,"1,543",10,601,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,11,243,11,271,--        ,--             ,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98310,"8,591","16,285","4,446","333,535","6,706","236,552","3,721","5,577","1,783","4,317","1,390","9,410",727,"7,932",*         ,*              ,156,441,34,364,"2,332","148,106","35,276","1,936","129,922","5,322","2,329","147,220","8,271",16,31,"7,062","32,759","6,583","31,724","1,312","2,108","4,086"
"Under $10,000        ","1,338","1,772",349,"5,915","1,033","5,470",286,256,146,159,117,-70,91,267,--        ,--             ,*         ,*              ,--        ,--             ,44,267,544,27,162,24,57,62,141,--        ,--             ,257,33,323,83,462,469,514
"$10,000 under $25,000","2,356","3,745","1,005","41,116","1,724","28,534",713,781,299,458,231,-28,140,910,--        ,--             ,25,50,--        ,--             ,256,"4,618","3,093",183,"3,337",376,249,"4,510",534,--        ,--             ,"1,951","1,680","1,681","1,650",612,"1,444","1,210"
"$25,000 under $50,000","2,592","5,020","1,385","93,850","1,976","65,425","1,214","1,658",529,893,387,272,219,"1,293",*         ,*              ,58,141,*         ,*              ,722,"27,438","9,246",568,"21,748","1,111",718,"27,292","2,049",*         ,*              ,"2,556","7,156","2,304","6,568",238,195,"1,232"
"$50,000 under $75,000","1,287","3,108",964,"78,811","1,092","59,120",737,"1,294",378,920,288,645,144,"1,128",*         ,*              ,32,90,14,99,647,"39,964","9,822",546,"33,786","1,438",643,"39,705","2,221",--        ,--             ,"1,281","7,878","1,258","7,339",--        ,--             ,625
"$75,000 under $100,000",610,"1,595",473,"52,403",551,"41,749",430,567,211,742,172,746,67,926,--        ,--             ,25,94,*         ,*              ,367,"31,637","6,028",331,"28,574",912,367,"31,637","1,552",*         ,*              ,609,"6,089",609,"5,881",--        ,--             ,282
"$100,000 or more     ",408,"1,045",270,"61,440",330,"36,254",341,"1,021",220,"1,145",195,"7,845",66,"3,408",--        ,--             ,16,66,20,265,296,"44,182","6,543",281,"42,315","1,461",295,"44,014","1,774",16,31,408,"9,923",408,"10,203",--        ,--             ,223
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98311,"10,342","22,569","7,172","479,514","8,885","376,880","4,962","4,602","2,280","4,120","1,764","9,305","1,038","8,495",*         ,*              ,295,814,46,562,"4,000","281,925","64,736","3,427","251,540","8,940","3,977","279,512","16,262",50,135,"8,764","48,331","8,162","45,617","1,141","1,912","4,639"
"Under $10,000        ","1,559","1,989",326,"6,637","1,305","7,007",356,170,164,138,134,-65,99,-121,--        ,--             ,*         ,*              ,--        ,--             ,47,287,517,34,221,35,62,-382,149,--        ,--             ,406,72,473,125,335,404,517
"$10,000 under $25,000","2,106","3,422",935,"36,666","1,678","27,801",614,506,237,300,157,-114,132,693,--        ,--             ,23,44,--        ,--             ,247,"4,624","3,238",167,"3,171",234,235,"4,424",562,--        ,--             ,"1,731","1,528","1,501","1,492",546,"1,291",973
"$25,000 under $50,000","2,711","5,901","1,930","100,548","2,214","75,729","1,295","1,041",556,799,440,136,276,"1,887",*         ,*              ,96,256,*         ,*              ,991,"38,819","13,809",781,"30,664","1,320",982,"38,514","3,227",--        ,--             ,"2,664","7,134","2,305","6,345",260,217,"1,349"
"$50,000 under $75,000","2,005","5,531","2,011","124,448","1,841","101,551","1,221",981,554,839,410,667,253,"1,359",*         ,*              ,101,271,14,43,"1,241","77,697","19,302","1,090","68,321","2,264","1,230","77,017","4,706",*         ,*              ,"2,002","11,503","1,926","10,099",--        ,--             ,943
"$75,000 under $100,000","1,163","3,454","1,243","100,098","1,101","83,809",824,913,409,668,306,933,149,"1,034",*         ,*              ,45,127,12,63,841,"72,425","14,159",753,"64,974","2,011",837,"72,102","3,795",*         ,*              ,"1,163","10,928","1,160","10,154",--        ,--             ,484
"$100,000 or more     ",798,"2,272",727,"111,117",746,"80,983",652,991,360,"1,376",317,"7,748",129,"3,643",*         ,*              ,30,116,20,456,633,"88,073","13,711",602,"84,189","3,076",631,"87,837","3,823",50,135,798,"17,166",797,"17,402",--        ,--             ,373
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98312,"12,982","26,476","8,004","550,757","10,950","421,056","5,250","6,962","2,549","6,265","2,051","12,136","1,247","14,117",14,-33,303,877,49,797,"3,998","286,101","64,840","3,318","253,716","8,096","3,977","284,263","17,011",54,117,"10,655","58,077","9,795","56,363","2,089","3,362","6,256"
"Under $10,000        ","2,072","2,919",677,"7,910","1,657","8,979",385,293,199,216,178,-165,193,208,*         ,*              ,*         ,*              ,--        ,--             ,74,412,975,43,220,38,91,-46,241,--        ,--             ,435,62,557,170,755,851,880
"$10,000 under $25,000","3,299","5,596","1,603","58,152","2,671","44,878",848,884,324,494,264,120,236,"1,477",*         ,*              ,50,108,*         ,*              ,415,"7,764","5,040",285,"5,339",442,404,"7,550","1,094",--        ,--             ,"2,675","2,292","2,293","2,304",899,"2,147","1,629"
"$25,000 under $50,000","3,693","7,925","2,601","133,628","3,098","104,940","1,411","1,462",620,994,451,423,297,"1,912",14,-33,82,220,*         ,*              ,"1,056","40,454","13,968",790,"30,342","1,310","1,034","39,674","3,162",--        ,--             ,"3,637","9,698","3,086","8,599",435,364,"1,853"
"$50,000 under $75,000","2,026","4,807","1,466","123,653","1,768","96,672","1,169","1,815",582,"1,500",457,"1,049",235,"2,338",*         ,*              ,73,203,25,177,"1,060","65,620","16,340",907,"56,324","1,819","1,058","65,507","4,296",*         ,*              ,"2,018","12,336","1,971","11,538",--        ,--             ,972
"$75,000 under $100,000",989,"2,686",852,"85,057",922,"69,346",681,674,368,854,270,772,134,"1,719",--        ,--             ,44,153,*         ,*              ,673,"58,068","11,652",614,"53,110","1,658",671,"57,906","3,308",*         ,*              ,988,"9,595",987,"9,197",--        ,--             ,437
"$100,000 or more     ",903,"2,543",805,"142,357",834,"96,241",756,"1,834",456,"2,207",431,"9,937",152,"6,463",*         ,*              ,54,193,24,620,720,"113,783","16,865",679,"108,381","2,829",719,"113,672","4,910",54,117,902,"24,094",901,"24,555",--        ,--             ,485
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98314,36,55,17,704,36,704,*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,31,41,26,34,--        ,--             ,29
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,*         
"$10,000 under $25,000",36,55,17,704,36,704,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,31,41,26,34,--        ,--             ,29
"$25,000 under $50,000",*         ,*         ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,*         ,*              ,*         ,*              ,--        ,--             ,*         
"$50,000 under $75,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$75,000 under $100,000",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
"$100,000 or more     ",--        ,--        ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--        
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98315,"1,770","4,297","1,523","55,310","1,759","54,279",426,81,116,35,73,-15,62,81,--        ,--             ,36,76,--        ,--             ,116,"7,018","1,818",92,"6,034",258,113,"6,817",375,--        ,--             ,"1,640","3,608","1,221","2,572",329,478,"1,116"
"Under $10,000        ",98,112,10,554,96,749,*         ,*              ,*         ,*              ,*         ,*              ,10,-22,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,44,6,38,6,14,17,45
"$10,000 under $25,000",732,"1,165",225,"13,523",730,"13,493",95,9,17,2,13,-5,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,12,244,112,*         ,*              ,*              ,12,244,10,--        ,--             ,663,625,546,556,154,331,514
"$25,000 under $50,000",718,"2,269",959,"25,685",713,"25,524",204,38,48,14,27,-11,34,-14,--        ,--             ,23,39,--        ,--             ,43,"1,729",630,36,"1,393",64,42,"1,704",106,--        ,--             ,711,"1,402",421,738,161,130,451
"$50,000 under $75,000",160,530,229,"9,543",159,"9,025",82,20,28,9,16,8,18,117,--        ,--             ,13,37,--        ,--             ,31,"1,928",477,28,"1,729",55,31,"1,928",107,--        ,--             ,160,857,154,634,--        ,--             ,84
"$75,000 under $100,000",43,158,73,"3,584",42,"3,372",27,4,13,6,17,-7,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,15,"1,259",278,14,"1,183",69,13,"1,083",55,--        ,--             ,43,371,43,301,--        ,--             ,22
"$100,000 or more     ",19,63,27,"2,421",19,"2,116",18,10,10,4,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,15,"1,858",321,14,"1,729",70,15,"1,858",97,--        ,--             ,19,347,19,337,--        ,--             ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98320,535,987,178,"21,055",310,"8,392",306,711,164,533,151,"1,577",109,685,--        ,--             ,12,27,--        ,--             ,177,"11,747","3,280",128,"8,641",261,183,"11,561",796,*         ,*              ,384,"1,974",397,"2,073",59,91,281
"Under $10,000        ",119,161,15,322,66,334,46,60,28,57,22,-32,24,-35,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,22,3,36,12,31,33,54
"$10,000 under $25,000",141,259,50,"2,415",71,993,75,114,36,49,31,-19,30,320,--        ,--             ,*         ,*              ,--        ,--             ,30,490,375,23,365,36,37,346,105,--        ,--             ,91,63,100,113,28,58,62
"$25,000 under $50,000",133,267,59,"4,839",89,"2,544",81,128,40,96,34,-20,27,189,--        ,--             ,12,27,--        ,--             ,47,"1,800",763,31,"1,196",36,46,"1,758",157,--        ,--             ,130,317,119,334,*         ,*              ,76
"$50,000 under $75,000",64,136,29,"3,845",38,"1,667",41,90,23,86,26,67,10,46,--        ,--             ,*         ,*              ,--        ,--             ,37,"2,190",582,21,"1,294",38,37,"2,190",148,--        ,--             ,64,362,64,364,--        ,--             ,38
"$75,000 under $100,000",47,106,20,"4,012",28,"1,756",37,114,18,77,17,107,18,165,--        ,--             ,--        ,--             ,--        ,--             ,38,"3,242",738,33,"2,838",111,38,"3,242",206,--        ,--             ,47,427,47,435,--        ,--             ,30
"$100,000 or more     ",31,58,5,"5,622",18,"1,098",26,205,19,168,21,"1,474",*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,25,"4,025",822,20,"2,948",40,25,"4,025",180,*         ,*              ,30,802,31,815,--        ,--             ,21
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98321,"6,127","13,680","4,500","300,080","5,395","245,277","2,619","2,776","1,345","2,093","1,050","9,270",866,"7,843",53,-236,124,390,28,255,"2,859","207,645","51,818","2,446","183,790","4,935","2,864","206,855","14,663",61,148,"5,149","29,692","4,959","28,436",572,868,"3,141"
"Under $10,000        ",927,"1,173",175,"3,214",731,"3,731",190,120,83,61,73,-50,93,-60,*         ,*              ,12,36,--        ,--             ,44,270,562,27,177,27,56,-295,208,--        ,--             ,233,44,292,102,200,218,322
"$10,000 under $25,000","1,165","1,852",430,"20,223",916,"14,903",338,411,148,257,120,72,122,"1,018",20,-70,*         ,*              ,--        ,--             ,206,"3,779","2,908",155,"2,912",236,203,"3,736",677,--        ,--             ,925,803,865,920,243,547,588
"$25,000 under $50,000","1,486","3,104","1,035","54,887","1,332","45,560",548,498,262,347,187,368,188,"1,256",*         ,*              ,33,112,15,86,578,"22,457","8,632",458,"17,884",682,576,"22,394","2,242",--        ,--             ,"1,442","3,974","1,300","3,681",129,103,780
"$50,000 under $75,000","1,219","3,440","1,307","75,416","1,151","65,324",640,440,336,309,236,549,219,"1,435",16,-79,32,96,--        ,--             ,875,"54,593","14,814",757,"47,457","1,285",873,"54,474","4,029",--        ,--             ,"1,219","6,544","1,176","5,801",--        ,--             ,708
"$75,000 under $100,000",785,"2,416",911,"67,657",753,"58,540",489,360,265,355,206,723,146,"1,030",*         ,*              ,21,60,*         ,*              ,662,"57,258","12,790",599,"51,952","1,227",662,"57,258","3,664",*         ,*              ,785,"6,806",783,"6,305",--        ,--             ,420
"$100,000 or more     ",545,"1,695",642,"78,683",512,"57,219",414,947,251,764,228,"7,608",98,"3,164",17,-87,26,86,13,169,494,"69,288","12,112",450,"63,408","1,478",494,"69,288","3,843",61,148,545,"11,521",543,"11,627",--        ,--             ,323
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98322,437,927,247,"21,905",351,"16,744",227,162,103,93,79,141,80,304,*         ,*              ,*         ,*              ,*         ,*              ,211,"14,683","3,543",176,"13,165",517,211,"14,600",850,*         ,*              ,360,"2,221",367,"2,283",42,64,219
"Under $10,000        ",61,82,16,248,45,250,14,15,*         ,*              ,12,2,22,-76,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,13,2,25,14,19,18,23
"$10,000 under $25,000",83,148,36,"1,429",58,978,32,18,18,19,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,27,401,369,15,210,33,29,397,73,--        ,--             ,56,47,60,66,23,46,35
"$25,000 under $50,000",100,182,39,"3,710",73,"2,385",51,61,21,23,17,-4,18,-45,--        ,--             ,*         ,*              ,--        ,--             ,45,"1,734",609,35,"1,322",78,43,"1,655",132,--        ,--             ,98,276,92,279,*         ,*              ,56
"$50,000 under $75,000",87,232,76,"5,409",77,"4,312",53,22,27,24,19,10,18,215,--        ,--             ,*         ,*              ,--        ,--             ,52,"3,256",825,43,"2,690",172,52,"3,256",201,--        ,--             ,87,496,84,486,--        ,--             ,44
"$75,000 under $100,000",67,183,55,"5,802",59,"4,801",44,30,21,13,15,-1,12,59,*         ,*              ,--        ,--             ,--        ,--             ,53,"4,595","1,036",50,"4,350",125,53,"4,595",251,--        ,--             ,67,613,67,617,--        ,--             ,33
"$100,000 or more     ",39,100,25,"5,307",39,"4,018",33,16,16,14,16,134,10,151,--        ,--             ,*         ,*              ,*         ,*              ,34,"4,697",704,33,"4,593",109,34,"4,697",193,*         ,*              ,39,787,39,821,--        ,--             ,28
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98323,301,731,281,"12,997",265,"11,044",111,44,39,6,23,0,22,111,--        ,--             ,*         ,*              ,--        ,--             ,97,"6,711","1,611",71,"5,453",162,97,"6,708",405,--        ,--             ,252,"1,199",236,"1,106",37,60,165
"Under $10,000        ",52,73,15,210,40,226,14,3,*         ,*              ,--        ,--             ,11,-5,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,*         ,*              ,*              ,--        ,--             ,15,3,20,6,12,7,23
