Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
"$10,000 under $25,000",69,95,22,"1,212",61,"1,111",19,8,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,58,53,54,58,17,26,47
"$25,000 under $50,000",61,99,26,"2,110",56,"1,974",30,26,17,59,23,19,15,-11,0,0,0,0,0,0,21,771,470,25,764,25,18,649,57,0,0,57,154,52,143,*         ,*              ,31
"$50,000 under $75,000",29,57,19,"1,771",26,"1,426",26,25,10,9,*         ,*              ,*         ,*              ,0,0,0,0,0,0,22,"1,553",469,18,"1,247",21,22,"1,517",110,0,0,28,176,28,168,0,0,22
"$75,000 under $100,000",14,30,8,"1,184",13,"1,122",*         ,*              ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,14,140,14,133,0,0,*         
"$100,000 or more     ",16,35,10,"3,049",11,"1,139",11,12,12,294,11,916,*         ,*              ,0,0,0,0,0,0,14,"2,784",599,12,"2,308",33,14,"2,784",129,*         ,*              ,15,438,16,472,0,0,10
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98115,"23,605","40,815","8,833","1,788,771","19,265","1,221,359","15,182","41,480","11,031","64,582","9,309","159,903","4,166","94,390",30,-143,854,"3,143",724,"10,460","10,714","1,284,554","236,100","9,532","1,202,930","34,417","10,657","1,273,841","69,337",757,"2,960","20,614","273,164","20,403","281,716",986,883,"9,206"
"Under $10,000        ","3,395","3,796",228,"7,537","2,262","13,202","1,410","1,266","1,098","1,152",932,829,399,32,*         ,*              ,25,55,*         ,*              ,176,964,"2,394",113,673,109,242,"-2,338",802,0,0,983,156,"1,206",460,589,302,"1,087"
"$10,000 under $25,000","3,806","4,608",449,"66,348","2,917","48,120","1,685","2,777","1,085","2,332",859,"1,158",499,"4,096",*         ,*              ,88,262,16,105,624,"11,164","9,555",470,"8,425",722,598,"10,702","2,203",0,0,"3,349","3,216","3,115","3,513",285,487,"1,227"
"$25,000 under $50,000","5,287","7,233","1,022","194,911","4,432","153,249","2,793","4,313","1,754","4,304","1,396","2,969",705,"9,173",0,0,246,832,60,426,"1,584","61,454","23,872","1,302","50,741","2,289","1,543","59,902","6,197",0,0,"5,190","17,166","5,039","17,734",112,94,"1,781"
"$50,000 under $75,000","3,471","5,968","1,260","214,360","2,944","164,618","2,549","4,882","1,695","5,713","1,373","4,430",628,"10,983",*         ,*              ,177,659,90,771,"2,037","127,258","34,895","1,762","110,160","3,411","2,014","125,856","9,677",*         ,*              ,"3,457","23,764","3,417","24,357",0,0,"1,419"
"$75,000 under $100,000","2,446","5,407","1,430","212,510","2,136","163,611","2,033","4,114","1,483","5,923","1,233","5,680",536,"10,339",*         ,*              ,108,381,90,830,"1,802","157,316","35,671","1,636","142,759","3,936","1,788","156,056","10,124",23,47,"2,438","24,956","2,429","25,226",0,0,989
"$100,000 or more     ","5,200","13,803","4,444","1,093,105","4,574","678,559","4,712","24,128","3,916","45,158","3,516","144,837","1,399","59,767",30,-143,210,954,468,"8,328","4,491","926,398","129,713","4,249","890,172","23,950","4,472","923,663","40,334",734,"2,913","5,197","203,906","5,197","210,426",0,0,"2,703"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98116,"11,966","19,594","3,741","909,427","9,711","609,638","7,158","20,769","4,860","24,037","4,142","105,041","2,029","46,748",12,-27,359,"1,350",283,"4,740","5,504","654,885","127,176","4,875","610,257","17,171","5,498","640,561","37,133",347,"1,166","10,561","138,356","10,600","142,330",514,507,"5,367"
"Under $10,000        ","1,385","1,597",118,"-5,476",847,"5,027",594,733,411,668,363,953,269,-734,*         ,*              ,*         ,*              ,13,31,87,499,"1,418",55,317,49,145,"-10,013",624,0,0,324,51,499,266,298,169,607
"$10,000 under $25,000","1,822","2,207",210,"31,942","1,315","22,204",735,"1,207",438,"1,003",350,344,274,"2,405",*         ,*              ,42,118,*         ,*              ,319,"5,753","4,963",248,"4,548",360,305,"5,527","1,183",0,0,"1,582","1,498","1,521","1,778",153,283,748
"$25,000 under $50,000","3,060","4,121",594,"113,351","2,581","90,815","1,381","2,243",806,"2,223",655,"1,242",371,"4,615",0,0,100,315,26,146,913,"35,339","15,214",748,"28,993","1,353",892,"34,553","3,777",0,0,"2,973","10,038","2,927","10,415",63,55,"1,103"
"$50,000 under $75,000","2,033","3,302",622,"125,250","1,754","97,895","1,319","2,607",838,"2,430",673,"2,531",332,"5,493",12,-27,74,233,40,276,"1,168","73,299","21,129","1,005","63,209","1,883","1,153","72,350","5,654",*         ,*              ,"2,020","14,032","2,003","14,464",0,0,882
"$75,000 under $100,000","1,277","2,667",652,"110,816","1,120","86,726",995,"2,050",683,"2,183",584,"3,193",226,"4,846",0,0,46,194,31,265,933,"81,115","19,816",862,"75,032","1,953",929,"80,746","5,553",18,23,"1,273","13,277","1,266","13,437",0,0,605
"$100,000 or more     ","2,389","5,700","1,545","533,544","2,094","306,971","2,134","11,929","1,684","15,530","1,517","96,778",557,"30,123",*         ,*              ,97,490,173,"4,022","2,084","458,880","64,636","1,957","438,158","11,573","2,074","457,398","20,342",329,"1,143","2,389","99,460","2,384","101,970",0,0,"1,422"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98117,"15,926","27,981","6,194","1,064,691","13,256","765,970","9,819","20,239","6,512","26,992","5,454","74,424","2,983","63,921",*         ,*              ,579,"2,004",407,"5,968","7,637","770,233","156,524","6,700","706,792","18,049","7,615","758,459","44,340",332,930,"13,937","147,162","13,902","152,321",851,934,"6,950"
"Under $10,000        ","1,993","2,360",226,"-1,150","1,333","8,219",774,942,539,685,467,142,321,483,*         ,*              ,*         ,*              ,*         ,*              ,145,905,"2,319",99,630,80,207,"-6,135",744,0,0,496,82,711,310,441,301,790
"$10,000 under $25,000","2,680","3,454",470,"46,838","1,984","32,868","1,103","1,840",636,"1,371",490,514,405,"3,595",*         ,*              ,66,175,29,129,442,"7,940","7,061",328,"5,929",469,430,"7,739","1,482",0,0,"2,287","2,125","2,199","2,553",280,519,"1,103"
"$25,000 under $50,000","3,820","5,481",950,"140,678","3,278","113,251","1,932","2,831","1,137","2,587",895,"1,449",602,"8,581",0,0,184,589,49,332,"1,260","48,908","19,753","1,000","38,844","1,562","1,229","47,706","5,119",*         ,*              ,"3,731","11,988","3,615","12,720",130,114,"1,458"
"$50,000 under $75,000","2,620","4,826","1,122","161,513","2,292","128,133","1,849","2,795","1,146","2,990",938,"3,027",506,"9,097",0,0,128,459,47,365,"1,690","105,455","28,484","1,479","92,572","2,577","1,668","104,090","7,835",*         ,*              ,"2,611","17,126","2,575","17,538",0,0,"1,128"
"$75,000 under $100,000","1,818","4,141","1,140","157,161","1,671","129,051","1,460","2,265",991,"2,899",784,"3,081",400,"8,296",*         ,*              ,83,297,55,553,"1,435","124,610","28,482","1,305","113,371","2,623","1,425","123,744","7,782",13,21,"1,817","18,028","1,811","18,166",0,0,818
"$100,000 or more     ","2,995","7,719","2,286","559,651","2,698","354,448","2,701","9,566","2,063","16,460","1,880","66,211",749,"33,869",*         ,*              ,118,484,227,"4,589","2,665","482,415","70,425","2,489","455,446","10,738","2,656","481,315","21,378",319,909,"2,995","97,813","2,991","101,034",0,0,"1,653"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98118,"18,938","37,096","12,282","877,909","16,501","651,437","7,977","14,930","3,802","13,466","3,157","55,139","2,764","35,607",*         ,*              ,436,"1,512",190,"2,571","6,232","540,193","125,272","5,358","493,427","16,933","6,192","531,356","31,368",216,817,"14,820","106,673","14,076","107,572","3,634","6,477","11,353"
"Under $10,000        ","3,295","4,718","1,167","8,709","2,585","14,387",696,610,358,366,311,296,520,"1,000",0,0,20,62,10,38,115,632,"1,668",60,314,58,160,"-3,835",559,0,0,591,100,982,499,"1,390","1,597","2,010"
"$10,000 under $25,000","4,934","8,995","3,193","86,251","4,209","71,704","1,383","1,217",429,656,317,309,631,"5,012",*         ,*              ,76,222,*         ,*              ,596,"11,064","8,748",430,"7,933",639,587,"10,919","1,861",0,0,"3,702","3,069","3,244","3,489","1,576","4,194","3,268"
"$25,000 under $50,000","5,549","11,061","3,966","199,063","5,045","172,804","2,177","2,170",846,"1,643",659,934,636,"6,700",0,0,157,465,44,217,"1,793","68,382","28,278","1,465","56,079","2,668","1,748","66,708","6,336",*         ,*              ,"5,385","14,361","4,757","13,512",668,686,"3,257"
"$50,000 under $75,000","2,413","5,374","1,763","147,537","2,208","123,123","1,493","2,251",667,"1,738",542,"1,620",374,"4,238",0,0,90,335,22,154,"1,475","90,854","26,828","1,306","80,507","2,759","1,458","89,819","6,346",*         ,*              ,"2,398","14,441","2,353","13,853",0,0,"1,294"
"$75,000 under $100,000","1,185","2,929",941,"102,187","1,083","82,920",863,"1,625",511,"1,555",407,"1,868",234,"3,609",0,0,36,138,22,234,895,"77,423","19,185",814,"70,511","2,370",887,"76,753","4,578",16,9,"1,182","11,325","1,179","11,174",0,0,594
"$100,000 or more     ","1,562","4,019","1,252","334,162","1,371","186,499","1,365","7,057",991,"7,508",921,"50,112",369,"15,048",0,0,57,290,92,"1,928","1,358","291,838","40,565","1,283","278,083","8,439","1,352","290,992","11,688",200,808,"1,562","63,377","1,561","65,045",0,0,930
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98119,"10,886","15,662","2,212","958,027","9,061","575,093","5,947","32,667","4,274","40,692","3,773","158,083","1,841","47,794",*         ,*              ,351,"1,204",302,"5,408","4,117","697,932","118,122","3,514","655,677","25,723","4,081","691,696","30,755",389,"2,100","9,587","162,987","9,594","167,897",498,333,"4,567"
"Under $10,000        ","1,443","1,592",85,672,942,"5,578",564,"1,106",468,697,425,377,221,591,*         ,*              ,10,24,11,27,141,619,"1,951",61,263,56,160,"-2,635",635,0,0,391,64,511,269,329,149,604
"$10,000 under $25,000","1,968","2,242",149,"34,542","1,558","26,551",700,"1,194",452,"1,207",377,628,310,"2,394",0,0,49,124,*         ,*              ,278,"4,850","4,798",180,"3,294",312,261,"4,593",747,*         ,*              ,"1,782","1,811","1,705","2,072",135,156,701
"$25,000 under $50,000","3,033","3,613",272,"111,583","2,717","96,018","1,254","1,795",753,"2,078",624,"2,136",377,"4,437",0,0,121,351,24,163,640,"24,993","10,021",502,"19,731",847,623,"24,367","2,224",14,8,"2,990","10,768","2,961","11,157",34,28,898
"$50,000 under $75,000","1,512","2,120",249,"92,487","1,318","74,339",939,"1,491",618,"1,827",504,"1,944",230,"3,832",0,0,53,164,24,170,727,"45,055","13,042",623,"38,728","1,140",711,"44,098","3,215",*         ,*              ,"1,501","11,254","1,494","11,637",0,0,634
"$75,000 under $100,000",865,"1,427",223,"74,758",754,"58,566",657,"1,601",444,"2,052",398,"2,211",182,"3,873",0,0,26,86,35,367,557,"48,564","11,444",499,"43,635","1,235",554,"48,302","3,154",10,12,863,"9,967",861,"10,371",0,0,393
"$100,000 or more     ","2,065","4,668","1,234","643,985","1,772","314,041","1,833","25,480","1,539","32,831","1,445","150,787",521,"32,667",*         ,*              ,92,455,208,"4,681","1,774","573,851","76,866","1,649","550,026","22,133","1,772","572,971","20,780",365,"2,080","2,060","129,123","2,062","132,391",0,0,"1,337"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98121,"6,379","7,904",555,"765,527","5,687","447,927","3,033","26,081","2,028","39,170","1,902","165,697",813,"33,377",*         ,*              ,141,491,110,"2,431","2,113","557,138","88,041","1,715","490,148","26,919","2,099","548,407","17,968",207,"1,822","5,700","152,155","5,681","153,959",358,197,"2,624"
"Under $10,000        ",813,891,40,"-6,021",636,"4,844",208,"1,256",126,430,120,496,118,-422,0,0,16,41,0,0,32,210,738,15,107,14,64,"-4,598",297,0,0,216,47,291,160,260,90,349
"$10,000 under $25,000","1,134","1,262",81,"20,029","1,015","17,546",276,333,151,284,138,195,115,841,0,0,*         ,*              ,12,59,95,"1,701","1,314",59,"1,075",80,93,"1,664",254,0,0,"1,068","1,125",988,"1,195",79,98,395
"$25,000 under $50,000","1,517","1,736",125,"55,850","1,416","50,496",507,726,273,589,251,394,147,"2,224",0,0,58,169,*         ,*              ,295,"11,489","4,042",213,"8,429",327,284,"11,067","1,022",0,0,"1,505","5,638","1,496","5,854",19,9,502
"$50,000 under $75,000","1,008","1,190",59,"61,665",937,"55,414",525,868,311,996,282,707,94,"1,575",0,0,16,48,14,143,430,"26,571","7,135",337,"20,964",742,414,"25,618","1,650",*         ,*              ,"1,007","8,227","1,004","8,432",0,0,377
"$75,000 under $100,000",705,874,45,"60,967",661,"53,671",492,859,324,695,309,"1,642",84,"1,704",0,0,17,62,*         ,*              ,353,"30,599","6,444",287,"24,862",608,344,"29,826","1,663",*         ,*              ,704,"9,618",704,"9,889",0,0,267
"$100,000 or more     ","1,202","1,951",205,"573,037","1,022","265,956","1,025","22,039",843,"36,176",802,"162,263",255,"27,455",*         ,*              ,34,171,84,"2,229",908,"486,568","68,368",804,"434,711","25,148",900,"484,830","13,082",207,"1,822","1,200","127,500","1,198","128,429",0,0,734
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98122,"15,370","21,784","3,944","919,845","13,790","658,241","6,294","14,484","3,945","26,745","3,437","117,411","2,361","43,815",*         ,*              ,360,"1,143",257,"4,093","4,383","581,560","105,170","3,660","534,613","19,393","4,337","569,427","28,629",305,"1,248","13,018","143,738","12,735","145,227","1,588","1,743","5,882"
"Under $10,000        ","2,487","2,926",355,"4,640","1,935","11,436",556,481,375,482,325,405,397,918,0,0,12,25,*         ,*              ,109,589,"1,420",60,340,67,137,"-5,639",459,0,0,549,90,786,341,889,551,935
"$10,000 under $25,000","3,846","4,899",861,"67,204","3,466","59,302",824,612,424,550,349,638,493,"3,124",*         ,*              ,60,168,*         ,*              ,313,"5,681","4,104",215,"3,963",333,294,"5,345",841,0,0,"3,500","3,465","3,177","3,581",519,"1,018","1,390"
"$25,000 under $50,000","4,456","5,997","1,127","159,902","4,189","145,574","1,585","1,302",743,"1,237",633,"1,370",520,"5,427",*         ,*              ,135,379,43,250,904,"34,921","13,187",684,"26,559","1,008",879,"34,043","2,971",*         ,*              ,"4,396","14,880","4,215","14,992",180,174,"1,464"
"$50,000 under $75,000","1,831","2,651",420,"111,164","1,705","96,466","1,064","1,167",588,"1,282",477,"1,899",289,"4,418",0,0,58,172,23,115,896,"55,331","15,108",742,"45,800","1,436",884,"54,587","3,818",*         ,*              ,"1,824","13,654","1,810","14,102",0,0,661
"$75,000 under $100,000",996,"1,641",298,"86,087",936,"73,862",726,881,523,"1,070",427,"2,623",171,"3,237",*         ,*              ,34,118,23,181,664,"57,603","13,551",578,"50,118","1,255",655,"56,847","3,615",21,16,996,"11,785",993,"12,135",0,0,414
"$100,000 or more     ","1,754","3,670",883,"490,848","1,559","271,601","1,539","10,041","1,292","22,124","1,226","110,476",491,"26,691",*         ,*              ,61,281,168,"3,547","1,497","427,435","57,800","1,381","407,833","15,294","1,488","424,244","16,925",284,"1,232","1,753","99,864","1,754","100,076",0,0,"1,018"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98124,760,"1,410",370,"125,715",529,"86,747",560,"3,771",458,"8,721",418,"15,063",69,"1,317",0,0,*         ,*              ,0,0,372,"81,036","16,163",276,"64,134","3,723",357,"79,214","2,412",74,206,651,"23,970",627,"18,890",16,27,560
"Under $10,000        ",69,75,2,-115,20,212,39,24,40,143,38,10,19,81,0,0,0,0,0,0,19,99,677,*         ,*              ,*              ,20,69,24,0,0,13,2,19,13,16,27,43
"$10,000 under $25,000",93,127,23,"1,575",45,"1,308",49,82,49,351,41,32,*         ,*              ,0,0,0,0,0,0,30,471,913,21,272,46,27,433,54,0,0,64,56,57,60,*         ,*              ,61
"$25,000 under $50,000",146,213,45,"5,569",100,"4,740",90,197,61,403,62,255,13,149,0,0,*         ,*              ,0,0,67,"2,602","1,827",44,"1,764",134,64,"2,482",164,0,0,127,422,120,459,0,0,91
"$50,000 under $75,000",118,177,31,"7,292",94,"6,556",77,304,55,500,44,161,15,169,0,0,0,0,0,0,68,"4,185","1,349",50,"3,079",160,65,"3,990",261,0,0,115,807,112,779,0,0,76
"$75,000 under $100,000",78,161,36,"6,800",57,"6,951",69,189,49,375,47,521,*         ,*              ,0,0,0,0,0,0,47,"4,103","1,218",35,"3,070",96,47,"4,103",236,0,0,77,764,73,616,0,0,62
"$100,000 or more     ",256,657,233,"104,594",213,"66,980",236,"2,975",204,"6,949",186,"14,084",22,918,0,0,*         ,*              ,0,0,141,"69,576","10,179",126,"55,949","3,287",134,"68,137","1,673",74,206,255,"21,919",246,"16,963",0,0,227
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98125,"17,342","29,486","6,651","900,986","14,359","651,816","9,123","18,328","5,455","20,071","4,537","59,645","2,640","46,449",*         ,*              ,522,"1,878",266,"3,097","5,990","533,859","116,112","5,078","481,675","15,158","5,927","526,800","30,673",258,931,"14,521","116,148","14,222","117,330","1,485","1,922","7,257"
"Under $10,000        ","2,745","3,352",396,"9,167","1,972","10,516",859,712,515,957,472,66,379,295,0,0,21,55,*         ,*              ,167,983,"2,634",93,595,122,202,"-1,583",571,*         ,*              ,611,115,893,369,697,492,"1,022"
"$10,000 under $25,000","3,967","5,518","1,051","69,223","3,132","53,030","1,422","2,231",761,"1,544",593,390,465,"3,748",0,0,61,162,17,46,498,"9,021","7,119",365,"6,641",629,470,"8,549","1,311",0,0,"3,366","3,160","3,086","3,445",571,"1,235","1,708"
"$25,000 under $50,000","4,756","7,437","1,618","172,675","4,137","142,473","2,260","3,433","1,095","2,747",836,"1,543",534,"5,661",0,0,182,638,34,194,"1,331","51,826","19,549","1,057","41,407","1,845","1,299","50,690","4,868",0,0,"4,687","14,407","4,419","14,211",217,195,"1,859"
"$50,000 under $75,000","2,519","4,817","1,189","154,820","2,180","123,180","1,731","3,078",996,"2,825",823,"2,788",440,"5,990",0,0,111,425,46,336,"1,385","86,456","23,682","1,155","72,061","2,415","1,360","84,923","5,855",*         ,*              ,"2,506","16,530","2,474","16,490",0,0,"1,060"
"$75,000 under $100,000","1,458","3,459",945,"126,244","1,292","98,896","1,167","1,989",763,"2,116",611,"3,092",309,"5,606",*         ,*              ,78,268,39,314,"1,073","93,306","20,962",976,"84,933","2,206","1,066","92,696","5,462",18,13,"1,455","14,388","1,454","14,550",0,0,609
"$100,000 or more     ","1,897","4,903","1,452","368,857","1,646","223,721","1,684","6,885","1,325","9,882","1,202","51,766",513,"25,149",*         ,*              ,69,330,130,"2,207","1,536","292,267","42,166","1,432","276,038","7,941","1,530","291,525","12,606",240,918,"1,896","67,548","1,896","68,265",0,0,999
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98126,"8,792","14,931","3,421","495,561","7,434","385,138","4,552","10,115","2,722","7,630","2,245","27,248","1,328","18,987",*         ,*              ,259,801,114,"1,392","3,892","329,299","79,393","3,268","290,973","7,594","3,848","322,974","19,177",116,388,"7,514","63,020","7,373","64,413",816,"1,324","3,826"
"Under $10,000        ","1,061","1,390",255,"2,624",736,"4,140",345,296,210,259,185,476,143,441,0,0,*         ,*              ,0,0,64,359,865,46,262,43,88,"-1,895",272,*         ,*              ,193,26,302,196,346,362,466
"$10,000 under $25,000","1,648","2,517",662,"28,804","1,249","21,076",565,"1,003",307,588,247,227,240,"2,384",*         ,*              ,29,79,*         ,*              ,278,"4,924","4,680",191,"3,430",216,271,"4,816",804,0,0,"1,303","1,152","1,191","1,473",357,870,789
"$25,000 under $50,000","2,475","3,736",811,"91,699","2,186","77,376","1,007","1,458",549,785,406,704,300,"3,115",0,0,93,271,21,117,865,"33,647","12,461",651,"25,512",872,838,"32,685","2,891",0,0,"2,429","7,797","2,302","7,791",113,92,955
"$50,000 under $75,000","1,598","2,833",609,"98,143","1,438","82,380","1,010","1,486",571,"1,411",453,"1,105",263,"3,588",0,0,69,204,25,187,"1,014","62,805","18,327",859,"53,309","1,358",999,"61,935","4,328",0,0,"1,584","10,442","1,577","10,516",0,0,644
"$75,000 under $100,000",936,"1,950",466,"80,457",858,"66,885",691,"1,091",434,899,340,"1,305",173,"2,988",0,0,34,110,20,233,729,"62,746","14,012",649,"55,955","1,244",719,"61,898","3,573",*         ,*              ,934,"9,685",930,"9,809",0,0,419
"$100,000 or more     ","1,074","2,505",618,"193,834",967,"133,281",934,"4,781",651,"3,688",614,"23,431",209,"6,471",*         ,*              ,34,137,48,855,942,"164,818","29,048",872,"152,505","3,861",933,"163,535","7,309",116,388,"1,071","33,918","1,071","34,628",0,0,553
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98127,495,702,98,"29,445",374,"17,156",272,497,156,453,144,"3,084",133,"2,128",0,0,19,66,*         ,*              ,193,"16,990","3,249",143,"14,602",316,191,"16,334",780,*         ,*              ,413,"4,367",434,"4,662",40,34,255
"Under $10,000        ",72,81,4,-29,23,114,33,27,19,15,23,15,35,143,0,0,*         ,*              ,*         ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,13,-171,29,0,0,*         ,*              ,33,31,26,11,37
"$10,000 under $25,000",124,152,13,"2,146",94,"1,502",52,47,21,26,15,19,28,254,0,0,*         ,*              ,0,0,44,657,303,16,223,17,34,608,30,0,0,116,113,105,147,14,23,64
"$25,000 under $50,000",126,160,22,"4,667",111,"3,889",60,48,29,43,24,126,29,329,0,0,19,66,0,0,37,"1,404",484,27,"1,046",17,35,"1,328",105,0,0,124,435,123,465,*         ,*              ,54
"$50,000 under $75,000",79,125,28,"4,828",71,"3,924",45,47,28,27,29,52,24,947,0,0,0,0,*         ,*              ,43,"2,682",742,35,"2,177",46,41,"2,553",178,0,0,79,577,79,645,0,0,40
"$75,000 under $100,000",36,59,8,"3,146",27,"2,070",27,58,19,51,15,160,*         ,*              ,0,0,*         ,*              ,0,0,22,"1,957",379,20,"1,779",28,22,"1,957",98,0,0,36,434,36,492,0,0,21
"$100,000 or more     ",58,125,23,"14,687",48,"5,657",55,270,40,291,38,"2,712",17,455,0,0,*         ,*              ,*         ,*              ,47,"10,290","1,341",45,"9,377",208,46,"10,059",340,*         ,*              ,58,"2,808",58,"2,882",0,0,39
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98133,"20,320","34,920","8,318","907,093","16,926","692,649","10,113","18,774","5,552","16,187","4,523","39,419","2,878","34,911",*         ,*              ,585,"1,936",176,"1,963","7,119","510,167","129,856","5,986","449,986","15,454","7,052","501,173","31,816",154,621,"16,941","100,198","16,657","101,406","1,913","2,571","8,880"
"Under $10,000        ","3,094","3,831",503,"8,590","2,264","12,999",945,954,509,598,467,-75,442,-284,0,0,19,33,*         ,*              ,162,918,"2,384",101,561,90,209,"-2,891",630,0,0,651,95,950,396,870,661,"1,257"
"$10,000 under $25,000","4,620","6,656","1,387","80,585","3,601","60,973","1,588","2,380",804,"1,718",645,213,603,"5,351",*         ,*              ,89,234,21,66,678,"12,133","9,505",499,"8,858",852,650,"11,637","1,841",0,0,"3,833","3,491","3,614","3,995",745,"1,614","2,104"
"$25,000 under $50,000","6,080","9,710","2,246","220,002","5,311","183,338","2,749","3,728","1,338","2,860","1,011","1,393",689,"7,575",*         ,*              ,218,689,32,205,"1,869","72,024","28,052","1,479","57,318","2,651","1,823","70,352","6,425",0,0,"5,950","18,025","5,640","17,982",298,296,"2,540"
"$50,000 under $75,000","3,234","6,396","1,653","198,638","2,844","159,737","2,124","3,701","1,157","2,909",921,"2,428",493,"6,039",0,0,127,441,27,181,"1,879","116,504","34,707","1,615","100,443","3,538","1,854","114,927","7,683",18,37,"3,220","20,886","3,175","20,552",0,0,"1,405"
"$75,000 under $100,000","1,728","4,247","1,281","149,159","1,543","119,308","1,337","2,330",816,"2,099",671,"3,701",338,"6,046",*         ,*              ,70,277,33,445,"1,251","108,288","23,943","1,107","95,963","2,744","1,240","107,347","6,260",*         ,*              ,"1,724","16,983","1,716","16,788",0,0,780
"$100,000 or more     ","1,564","4,080","1,248","250,119","1,363","156,294","1,370","5,681",928,"6,003",808,"31,759",313,"10,184",*         ,*              ,62,262,63,"1,066","1,280","200,300","31,265","1,185","186,843","5,579","1,276","199,801","8,977",136,584,"1,563","40,718","1,562","41,693",0,0,794
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98134,468,678,136,"45,278",402,"22,626",179,"2,638",116,"1,010",103,"3,158",49,522,0,0,*         ,*              ,*         ,*              ,91,"29,459","2,132",77,"24,770",348,89,"28,895",839,*         ,*              ,395,"10,511",386,"10,090",44,37,247
"Under $10,000        ",71,80,5,204,53,339,14,18,*         ,*              ,10,13,21,172,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,13,135,30,0,0,11,2,17,10,28,9,37
"$10,000 under $25,000",153,209,42,"2,729",132,"2,479",32,58,28,43,12,5,*         ,*              ,0,0,0,0,0,0,12,196,108,*         ,*              ,*              ,*         ,*              ,*              ,0,0,141,139,132,152,16,28,65
