Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98002,"12,731","25,090","8,292","473,145","11,021","371,120","4,065","7,022","1,820","3,887","1,363","13,262","1,215","10,339",*         ,*              ,163,566,26,332,"3,252","212,393","52,576","2,654","182,805","6,228","3,203","209,501","12,270",44,101,"10,159","45,131","9,415","43,543","2,234","3,910","6,893"
"Under $10,000        ","2,036","3,024",806,"9,922","1,657","8,953",355,334,144,120,118,-114,199,-32,0,0,*         ,*              ,0,0,53,337,728,34,212,29,65,11,183,0,0,366,48,503,153,790,945,"1,003"
"$10,000 under $25,000","3,574","6,430","2,236","62,537","2,912","48,647",816,"1,115",360,512,268,61,309,"2,348",0,0,24,69,*         ,*              ,342,"6,211","4,636",243,"4,426",395,329,"5,998",812,0,0,"2,751","2,299","2,431","2,422",986,"2,499","2,047"
"$25,000 under $50,000","4,118","8,243","2,963","147,126","3,741","126,514","1,184","1,339",454,728,319,367,325,"2,951",*         ,*              ,65,226,14,65,"1,041","39,969","13,858",803,"31,100","1,257","1,010","38,746","3,022",0,0,"4,043","11,203","3,524","10,248",458,466,"2,178"
"$50,000 under $75,000","1,747","4,128","1,324","106,503","1,586","87,954",854,"1,064",393,658,271,811,220,"1,781",*         ,*              ,33,107,*         ,*              ,916,"56,137","14,429",765,"46,658","1,598",902,"55,279","3,395",*         ,*              ,"1,743","10,571","1,701","9,871",0,0,966
"$75,000 under $100,000",753,"1,974",611,"64,096",689,"52,901",453,673,237,406,166,"1,102",85,562,0,0,20,69,*         ,*              ,504,"43,388","9,204",436,"37,536","1,097",502,"43,224","2,289",*         ,*              ,753,"7,072",753,"6,740",0,0,402
"$100,000 or more     ",503,"1,291",352,"82,961",436,"46,151",403,"2,497",232,"1,463",221,"11,035",77,"2,729",0,0,21,95,12,267,396,"66,351","9,721",373,"62,873","1,852",395,"66,243","2,569",44,101,503,"13,938",503,"14,109",0,0,297
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98003,"18,091","36,795","12,415","775,138","15,703","611,507","6,675","12,171","3,357","8,840","2,762","28,559","2,069","25,521",16,-21,302,976,93,"1,298","5,652","429,774","103,613","4,727","379,919","14,128","5,583","417,912","24,895",142,472,"14,504","83,828","13,496","82,654","2,955","5,238","9,635"
"Under $10,000        ","2,983","4,331","1,078","6,482","2,341","13,518",622,498,330,354,289,-207,383,724,0,0,13,30,*         ,*              ,121,743,"1,671",77,488,97,158,"-6,108",421,0,0,585,91,846,340,"1,015","1,191","1,520"
"$10,000 under $25,000","4,554","8,120","2,790","79,353","3,824","64,192","1,030","1,430",459,798,352,291,401,"3,231",*         ,*              ,36,75,*         ,*              ,449,"8,308","6,463",316,"5,871",587,423,"7,838","1,170",0,0,"3,512","2,941","3,028","3,105","1,302","3,392","2,583"
"$25,000 under $50,000","5,347","11,077","4,117","192,394","4,834","165,241","1,650","1,893",702,"1,299",575,612,512,"4,682",*         ,*              ,95,300,21,104,"1,533","58,795","22,233","1,196","46,111","2,134","1,487","56,976","4,721",10,5,"5,211","14,273","4,507","13,098",638,655,"2,785"
"$50,000 under $75,000","2,556","5,992","1,986","156,463","2,290","129,044","1,363","1,781",649,"1,421",523,"1,416",323,"3,269",*         ,*              ,68,204,*         ,*              ,"1,424","88,239","24,352","1,196","74,260","2,706","1,399","86,744","5,685",*         ,*              ,"2,547","15,314","2,475","14,483",0,0,"1,348"
"$75,000 under $100,000","1,294","3,481","1,176","111,240","1,188","91,888",894,"1,262",485,967,379,"1,819",200,"2,571",16,-21,51,177,13,103,978,"84,447","19,148",872,"75,251","2,478",971,"83,840","4,702",12,17,"1,293","12,059","1,283","11,550",0,0,643
"$100,000 or more     ","1,357","3,794","1,268","229,206","1,226","147,624","1,116","5,307",732,"4,001",644,"24,628",250,"11,044",*         ,*              ,39,190,59,"1,091","1,147","189,242","29,746","1,070","177,938","6,126","1,145","188,622","8,196",120,450,"1,356","39,150","1,357","40,078",0,0,756
